"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "Dotenv", "Docker", "Markdown", "YAML", "JSON", "Ignore", "TypeScript JSX", "PostCSS", "SCSS", "SVG", "comment", "blank", "total"
"a:\GCET BLOG\GcetBlog\.github\copilot-instructions.md", "Markdown", 0, 0, 0, 0, 0, 386, 0, 0, 0, 0, 0, 0, 0, 0, 99, 485
"a:\GCET BLOG\GcetBlog\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"a:\GCET BLOG\GcetBlog\.prettierrc.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"a:\GCET BLOG\GcetBlog\ARCHITECTURE.md", "Markdown", 0, 0, 0, 0, 0, 360, 0, 0, 0, 0, 0, 0, 0, 0, 39, 399
"a:\GCET BLOG\GcetBlog\CHEAT_SHEET.md", "Markdown", 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 66, 275
"a:\GCET BLOG\GcetBlog\CODEBASE_GUIDE.md", "Markdown", 0, 0, 0, 0, 0, 877, 0, 0, 0, 0, 0, 0, 0, 0, 233, 1110
"a:\GCET BLOG\GcetBlog\DOCUMENTATION_INDEX.md", "Markdown", 0, 0, 0, 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 85, 289
"a:\GCET BLOG\GcetBlog\DOCUMENTATION_SUMMARY.md", "Markdown", 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 82, 352
"a:\GCET BLOG\GcetBlog\Dockerfile", "Docker", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 19, 18, 72
"a:\GCET BLOG\GcetBlog\IMAGE_GUIDELINES.md", "Markdown", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 29, 119
"a:\GCET BLOG\GcetBlog\QUICK_START.md", "Markdown", 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 64, 209
"a:\GCET BLOG\GcetBlog\README.md", "Markdown", 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 126, 338
"a:\GCET BLOG\GcetBlog\START_HERE.md", "Markdown", 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 78, 229
"a:\GCET BLOG\GcetBlog\clear-database.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 53
"a:\GCET BLOG\GcetBlog\components.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"a:\GCET BLOG\GcetBlog\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"a:\GCET BLOG\GcetBlog\docs\01-project-overview.md", "Markdown", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 49, 236
"a:\GCET BLOG\GcetBlog\docs\02-architecture.md", "Markdown", 0, 0, 0, 0, 0, 338, 0, 0, 0, 0, 0, 0, 0, 0, 84, 422
"a:\GCET BLOG\GcetBlog\docs\03-folder-structure.md", "Markdown", 0, 0, 0, 0, 0, 490, 0, 0, 0, 0, 0, 0, 0, 0, 104, 594
"a:\GCET BLOG\GcetBlog\docs\04-authentication.md", "Markdown", 0, 0, 0, 0, 0, 445, 0, 0, 0, 0, 0, 0, 0, 0, 110, 555
"a:\GCET BLOG\GcetBlog\docs\05-route-groups.md", "Markdown", 0, 0, 0, 0, 0, 347, 0, 0, 0, 0, 0, 0, 0, 0, 91, 438
"a:\GCET BLOG\GcetBlog\docs\11-development.md", "Markdown", 0, 0, 0, 0, 0, 532, 0, 0, 0, 0, 0, 0, 0, 0, 160, 692
"a:\GCET BLOG\GcetBlog\docs\12-roadmap.md", "Markdown", 0, 0, 0, 0, 0, 381, 0, 0, 0, 0, 0, 0, 0, 0, 93, 474
"a:\GCET BLOG\GcetBlog\docs\COMPLETE.md", "Markdown", 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 56, 328
"a:\GCET BLOG\GcetBlog\docs\DIAGRAMS.md", "Markdown", 0, 0, 0, 0, 0, 476, 0, 0, 0, 0, 0, 0, 0, 0, 47, 523
"a:\GCET BLOG\GcetBlog\docs\INDEX.md", "Markdown", 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 120, 346
"a:\GCET BLOG\GcetBlog\docs\QUICK-REFERENCE.md", "Markdown", 0, 0, 0, 0, 0, 348, 0, 0, 0, 0, 0, 0, 0, 0, 97, 445
"a:\GCET BLOG\GcetBlog\docs\README.md", "Markdown", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 22, 76
"a:\GCET BLOG\GcetBlog\docs\SUMMARY.md", "Markdown", 0, 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 0, 0, 54, 329
"a:\GCET BLOG\GcetBlog\docs\content-engine\MASTER_PLAN.md", "Markdown", 0, 0, 0, 0, 0, 402, 0, 0, 0, 0, 0, 0, 0, 0, 87, 489
"a:\GCET BLOG\GcetBlog\docs\content-engine\V2_ROADMAP.md", "Markdown", 0, 0, 0, 0, 0, 1467, 0, 0, 0, 0, 0, 0, 0, 0, 298, 1765
"a:\GCET BLOG\GcetBlog\docs\newsletter-email-setup.md", "Markdown", 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 47, 209
"a:\GCET BLOG\GcetBlog\eslint.config.mjs", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"a:\GCET BLOG\GcetBlog\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 7
"a:\GCET BLOG\GcetBlog\next-sitemap.config.cjs", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 26
"a:\GCET BLOG\GcetBlog\next.config.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 64
"a:\GCET BLOG\GcetBlog\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 16729, 0, 0, 0, 0, 0, 0, 1, 16730
"a:\GCET BLOG\GcetBlog\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 1, 141
"a:\GCET BLOG\GcetBlog\playwright.config.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 42
"a:\GCET BLOG\GcetBlog\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 10127, 0, 0, 0, 0, 0, 0, 0, 2481, 12608
"a:\GCET BLOG\GcetBlog\postcss.config.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"a:\GCET BLOG\GcetBlog\public\favicon.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"a:\GCET BLOG\GcetBlog\redirects.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"a:\GCET BLOG\GcetBlog\scripts\clear-database.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"a:\GCET BLOG\GcetBlog\scripts\create-sample-posts.js", "JavaScript", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 184
"a:\GCET BLOG\GcetBlog\scripts\create-sample-posts.ts", "TypeScript", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 174
"a:\GCET BLOG\GcetBlog\scripts\migrate-admin-role.ts", "TypeScript", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 24, 164
"a:\GCET BLOG\GcetBlog\scripts\migrate-to-multitenant.ts", "TypeScript", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 24, 183
"a:\GCET BLOG\GcetBlog\scripts\migrate-to-rbac.js", "JavaScript", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 31, 279
"a:\GCET BLOG\GcetBlog\scripts\seed-database.ts", "TypeScript", 0, 581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 35, 643
"a:\GCET BLOG\GcetBlog\scripts\seed-templates.ts", "TypeScript", 0, 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 26, 639
"a:\GCET BLOG\GcetBlog\scripts\test-admin.mjs", "JavaScript", 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 31, 228
"a:\GCET BLOG\GcetBlog\scripts\test-contributor.mjs", "JavaScript", 0, 0, 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 82, 767
"a:\GCET BLOG\GcetBlog\scripts\test-editor.mjs", "JavaScript", 0, 0, 405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 47, 518
"a:\GCET BLOG\GcetBlog\src\Footer\Component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 5, 9, 80
"a:\GCET BLOG\GcetBlog\src\Footer\RowLabel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"a:\GCET BLOG\GcetBlog\src\Footer\config.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"a:\GCET BLOG\GcetBlog\src\Footer\hooks\revalidateFooter.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"a:\GCET BLOG\GcetBlog\src\Header\Component.client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 9, 20, 221
"a:\GCET BLOG\GcetBlog\src\Header\Component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 6, 38
"a:\GCET BLOG\GcetBlog\src\Header\Nav\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 1, 9, 52
"a:\GCET BLOG\GcetBlog\src\Header\RowLabel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"a:\GCET BLOG\GcetBlog\src\Header\config.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"a:\GCET BLOG\GcetBlog\src\Header\hooks\revalidateHeader.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
