Date : 2026-03-11 22:05:45
Directory : a:\GCET BLOG\GcetBlog
Total : 585 files,  96800 codes, 5018 comments, 11355 blanks, all 113173 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        319 |     35,554 |      1,383 |      3,742 |     40,679 |
| TypeScript         |        207 |     22,543 |      3,332 |      2,352 |     28,227 |
| JSON               |          4 |     16,892 |          0 |          4 |     16,896 |
| YAML               |          2 |     10,155 |          0 |      2,485 |     12,640 |
| Markdown           |         26 |      9,306 |          0 |      2,420 |     11,726 |
| JavaScript         |         14 |      1,916 |        260 |        247 |      2,423 |
| PostCSS            |          3 |        237 |         17 |         61 |        315 |
| SCSS               |          5 |         87 |          7 |         21 |        115 |
| JSON with Comments |          1 |         51 |          0 |          1 |         52 |
| Docker             |          1 |         35 |         19 |         18 |         72 |
| Ignore             |          1 |         13 |          0 |          2 |         15 |
| SVG                |          1 |         10 |          0 |          1 |         11 |
| Dotenv             |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |        585 |     96,800 |      5,018 |     11,355 |    113,173 |
| . (Files)                                                                             |         30 |     30,014 |         66 |      3,358 |     33,438 |
| .github                                                                               |          1 |        386 |          0 |         99 |        485 |
| docs                                                                                  |         16 |      6,402 |          0 |      1,519 |      7,921 |
| docs (Files)                                                                          |         14 |      4,533 |          0 |      1,134 |      5,667 |
| docs\content-engine                                                                   |          2 |      1,869 |          0 |        385 |      2,254 |
| public                                                                                |          1 |         10 |          0 |          1 |         11 |
| scripts                                                                               |         11 |      3,119 |        327 |        334 |      3,780 |
| src                                                                                   |        524 |     56,839 |      4,625 |      6,032 |     67,496 |
| src (Files)                                                                           |          5 |      3,263 |      1,130 |         70 |      4,463 |
| src\Footer                                                                            |          4 |        115 |          5 |         21 |        141 |
| src\Footer (Files)                                                                    |          3 |        106 |          5 |         16 |        127 |
| src\Footer\hooks                                                                      |          1 |          9 |          0 |          5 |         14 |
| src\Header                                                                            |          6 |        312 |         13 |         47 |        372 |
| src\Header (Files)                                                                    |          4 |        261 |         12 |         33 |        306 |
| src\Header\Nav                                                                        |          1 |         42 |          1 |          9 |         52 |
| src\Header\hooks                                                                      |          1 |          9 |          0 |          5 |         14 |
| src\access                                                                            |          9 |        442 |        284 |        139 |        865 |
| src\app                                                                               |        221 |     28,902 |      1,340 |      3,141 |     33,383 |
| src\app (Files)                                                                       |          1 |         24 |          0 |          5 |         29 |
| src\app\(auth)                                                                        |         11 |        801 |         22 |        110 |        933 |
| src\app\(auth) (Files)                                                                |          1 |         49 |          0 |          4 |         53 |
| src\app\(auth)\login                                                                  |          4 |        295 |         15 |         48 |        358 |
| src\app\(auth)\register                                                               |          4 |        277 |          5 |         39 |        321 |
| src\app\(auth)\set-password                                                           |          2 |        180 |          2 |         19 |        201 |
| src\app\(frontend)                                                                    |         53 |      4,654 |        250 |        646 |      5,550 |
| src\app\(frontend) (Files)                                                            |          5 |        295 |         17 |         70 |        382 |
| src\app\(frontend)\(sitemaps)                                                         |          2 |        108 |          0 |         17 |        125 |
| src\app\(frontend)\(sitemaps)\pages-sitemap.xml                                       |          1 |         60 |          0 |          9 |         69 |
| src\app\(frontend)\(sitemaps)\posts-sitemap.xml                                       |          1 |         48 |          0 |          8 |         56 |
| src\app\(frontend)\[slug]                                                             |          2 |        148 |         10 |         36 |        194 |
| src\app\(frontend)\clubs                                                              |          8 |        943 |         39 |        119 |      1,101 |
| src\app\(frontend)\clubs (Files)                                                      |          3 |        289 |         11 |         38 |        338 |
| src\app\(frontend)\clubs\[slug]                                                       |          5 |        654 |         28 |         81 |        763 |
| src\app\(frontend)\clubs\[slug] (Files)                                               |          2 |        258 |         17 |         34 |        309 |
